"Título","Actividad","Temática","Dirección","Teléfono","e-mail","Web","Otros","UAP","Tipo de recurso","Población diana","Zona Accción","Dirección: coordenadas","Modificado por"
"Mobidurango","SOAF","[""Actividad física""]","{""DisplayName"":""DURANGO KIROLAK - Landako II"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN777097929DD61956?setLang=es-ES"",""EntityType"":""LocalBusiness"",""Address"":{""Street"":""Barrio de Arriputzueta 3"",""City"":""Durango"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1726,""Longitude"":-2.62704}}","637.419.418","mobidurango@durango.eus",,,"[""Durango""]","[""Deportivo""]","[""Población general"",""Personas mayores""]","Local","Point (-2.62704 43.1726)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Diputación Foral de Bizkaia",,"[""Otro""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNFC574BBC87D5E970?setLang=es-ES"",""DisplayName"":""Diputación Foral de Bizkaia"",""Address"":{""Street"":""Avenida Lehendakari Aguirre 9"",""City"":""Bilbao"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48014"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2621,""Longitude"":-2.93211}}",,,,,"[""Abadiño Elorrio Berriz"",""Aiara"",""Amorebieta"",""Arratia"",""Arrigorriaga"",""Basauri Ariz"",""Basauri Kareaga"",""Bermeo"",""Durango"",""Etxebarri"",""Galdakao"",""Gernika"",""Gernikaldea"",""Lekeitio"",""Llodio"",""Markina"",""Ondarroa""]","[""Institución pública""]","[""Población general""]","Provincial","Point (-2.93211 43.2621)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Asites Asociación Internacional del Teléfono de la Esperanza","Intervención en crisis: servicio urgente, gratuito, anónimo y especializado para abordar
las crisis emocionales.
Servicio de Orientación telefónica 24h.
Servicio de Orientación por chat.
Intervención en entrevista personal.
Grupos de apoyos específicos.
Programa de acompañamiento en la soledad.
Además, desarrolla acciones de formación, sensibilización e incidencia política
Formación a demanda: bienestar emocional, gestión del
estrés, prevención del suicidio, formación para padres y
madres, educadores y jóvenes.
Charlas.
Visitas y participación en actividades en la sede social.
Revista A vivir.
Colaboración en narrativas para para el diseño de escape
rooms y breakouts educativos.","[""Salud mental/Bienestar emocional""]","{""EntityType"":""Unknown"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities/5668266183216857089?setLang=es-ES"",""DisplayName"":""Bilbao"",""Address"":{""City"":""Bilbao"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48002"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2497,""Longitude"":-2.9469}}","644.514.414","euskadi@telefonodelaesperanza.org","https://telefonodelaesperanza.org/euskadi",,"[""Abadiño Elorrio Berriz"",""Aiara"",""Amorebieta"",""Arratia"",""Arrigorriaga"",""Basauri Ariz"",""Basauri Kareaga"",""Durango"",""Bermeo"",""Galdakao"",""Etxebarri"",""Gernikaldea"",""Gernika"",""Llodio"",""Markina"",""Ondarroa"",""Lekeitio""]","[""Asociación""]","[""Personas en riesgo de exclusión social""]","Estatal","Point (-2.9469 43.2497)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Herri Auzo Elkartea",,"[""Cultura, ocio y naturaleza""]",,,,,"Sabino y Txema","[""Durango""]","[""Asociación""]","[""Población general""]","Local",,"CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Durango - Personas Mayores","Desarrollar programas y acciones para el fomento de un envejecimiento activo, saludable, participativo e integrador en las personas mayores.","[""Personas Mayores""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x14913928431199345350?setLang=es-ES"",""DisplayName"":""Residencia Centro De Día Astarloa"",""Address"":{""Street"":""Calle Kampatorrosteta 9"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1682,""Longitude"":-2.62981}}","944.657.451","adintek@durango.eus","https://www.durango.eus/es/personas-mayores","Ofrecen cursos de programación cuatrimestral","[""Durango""]","[""Institución pública""]","[""Personas mayores""]","Local","Point (-2.62981 43.1682)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Sexare","SERVICIOS DE INFORMACIÓN JUVENIL (SIJ)
Espacio de consulta sobre sexualidad para jóvenes y sus familiares.","[""Juventud"",""Salud sexual y reproductiva""]",,"644.898.661","sexare@gernika-lumo.eus",,,"[""Bermeo"",""Gernika""]",,,,,"CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Durango - Acción Social","Promover la cohesión social y bienestar del conjunto de la población de Durango, mediante el desarrollo de políticas preventivas que contribuyan a mejorar la calidad de vida de todas las personas residentes en el municipio y a evitar la aparición de situaciones de exclusión social, y mediante un conjunto de actuaciones y programas dirigidos a personas o grupos que presenten dificultades de carácter social.","[""Personas en riesgo de exclusión social"",""Personas cuidadoras"",""Personas migrantes"",""Salud comunitaria""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x522163518?setLang=es-ES"",""DisplayName"":""Ayuntamiento de Durango"",""Address"":{""Street"":""Calle Barren, 17"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""España"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1662,""Longitude"":-2.63148}}","944.657.091","gekintza@durango.eus","https://www.durango.eus/es/accion-social",,"[""Durango""]","[""Institución pública""]","[""Población general"",""Familias"",""Personas migrantes"",""Personas cuidadoras"",""Personas en riesgo de exclusión social""]","Local","Point (-2.63148 43.1662)","CESAR ENRIQUE PINARGOTE GAVILANES"
"FRAY JUAN DE ZUMARRAGA-DURANGO",,"[""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x9554202653824642935?setLang=es-ES"",""DisplayName"":""I.E.S. DURANGO"",""Address"":{""Street"":""Fray Juan de Zumárraga, 23"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1723,""Longitude"":-2.63651}}","946.817.325","ikasketaburuondokoa@durangobhi.net",,,"[""Durango""]","[""Centro educativo""]","[""Juventud""]","Local","Point (-2.63651 43.1723)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ZABALARRA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x3359761466751351834?setLang=es-ES"",""DisplayName"":""Zabalarra ESKOLA"",""Address"":{""Street"":""C/ San Roke, 4"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1681,""Longitude"":-2.63793}}","946.202.143","015342aa@hezkuntza.net",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.63793 43.1681)","CESAR ENRIQUE PINARGOTE GAVILANES"
"DURANGOKO HAURRESKOLA-JULENE AZPEITIA",,"[""Infancia""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x10546776215959310351?setLang=es-ES"",""DisplayName"":""Durango Haurreskolak"",""Address"":{""Street"":""Calle San Roke Kalea, 4"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1681,""Longitude"":-2.63793}}","946.203.516","julene.durango@haurreskolak.eus",,,"[""Durango""]","[""Centro educativo""]","[""Infancia""]","Local","Point (-2.63793 43.1681)","CESAR ENRIQUE PINARGOTE GAVILANES"
